IDPOG,UPC,IDProduct
27822,60788002215,35404
27822,60788002216,35741
27822,60788002217,35403
27822,60788002218,35400
27822,60788002219,35413
27822,60788002220,35411
27822,60788002221,35406
27822,60788002222,35407
27822,60788002223,35742
27822,60788002224,35743
27822,60788002225,35744
27822,60788002226,35402
27822,60788002227,35399
27822,60788002228,35409
27822,60788002229,35408
27822,60788002231,35405
27822,60788002321,35745
27822,60788002323,35412
27822,60788002793,35401
27822,60788002795,35410
27822,66576850009,35417
27822,66576850010,35419
27822,66576850013,35416
27822,66576850015,35418
27822,66576850017,35414
27822,66576850019,35415
27822,9955508051,35759
27823,1114110002,36054
27823,1114110022,36055
27823,1114110029,36056
27823,1114110040,36057
27823,1114110196,36058
27823,1114110230,36059
27823,1114110275,36060
27823,1114110291,36061
27823,1114110526,36062
27823,1291901215,36063
27823,1291901220,35749
27823,1291912212,36065
27823,1291912231,36066
27823,1291912261,36067
27823,2451500872,36068
27823,2451507297,36070
27823,2550000227,32257
27823,2550000228,32258
27823,2550000233,32259
27823,2550000234,36073
27823,2550000365,32260
27823,2550000366,35459
27823,2550000371,35482
27823,2550020040,35751
27823,2550020042,36074
27823,2550020044,35753
27823,2550020121,36075
27823,2550020145,36076
27823,2550020170,32270
27823,2550020173,36077
27823,2550020188,32271
27823,2550020212,35754
27823,2550020408,36078
27823,2550020421,32272
27823,2550020496,36079
27823,2550020529,32274
27823,2550020532,32275
27823,2550020534,32276
27823,2550020536,32277
27823,3570001815,36092
27823,3570001820,36093
27823,3570001855,36094
27823,3570001857,36095
27823,3570001896,36096
27823,3570001904,36097
27823,3570016261,36098
27823,3570016263,36100
27823,3570016298,36101
27823,3680018285,36102
27823,3680029189,36103
27823,3680037972,32290
27823,4100032818,35796
27823,4300002922,32292
27823,4300002945,32293
27823,4300002951,32297
27823,4300004296,36104
27823,4300004297,36105
27823,4300004298,36106
27823,4300004299,36107
27823,4300004300,36108
27823,4300004301,36109
27823,4300004648,32299
27823,4300004650,36110
27823,4300004660,36115
27823,4300004981,36116
27823,4300004986,36117
27823,4300004992,36118
27823,4300004998,36119
27823,4300005000,36120
27823,4300005001,36121
27823,4300005133,32302
27823,4300005530,36122
27823,4300005532,36123
27823,4300005533,35426
27823,4300005534,35424
27823,4300005535,35427
27823,4300005764,36124
27823,4300005772,36125
27823,4300005779,36126
27823,4300006065,35423
27823,4300006086,35428
27823,4300006190,36127
27823,4300006194,36128
27823,4300006346,35425
27823,4300006353,36133
27823,4300006702,36134
27823,4300070590,32314
27823,4300079460,32316
27823,4300079470,35819
27823,60788001091,36149
27823,60788001092,36150
27823,60788002216,35741
27823,60788002217,35403
27823,60788002218,35400
27823,60788002220,35411
27823,60788002222,35407
27823,60788002223,35742
27823,60788002224,35743
27823,60788002225,35744
27823,60788002316,36151
