UPC,NAME,IDProduct,L1,L2,L3,Brand,Manufacturer,Planogram
2114000005, WD INSTANT COFFEE,32242,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,WINN DIXIE,LONE STAR FUNDS,
2114000006,WD INSTANT COFFEE,32243,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,WINN DIXIE,LONE STAR FUNDS,
2114001629,WD ORIG RST CAN GRND COFF,32244,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001630,WD DRK RST GRND COFFE CAN,32245,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001632,WD COLUMBN GRND COFF CAN,32246,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001633,WD 1/2 CAF GRND COFFE CAN,32247,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001634,WD ORIG RST BRICK COFFEE,32248,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001635,WD ORIG RST DECAF BRICK,32249,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001636,WD DARK RST BRICK COFFEE,32250,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114012205,WD 100% ARABICA CL GRND COFFEE,32251,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114012208,WD BREAKFAST BLEND BRICK,32252,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114012209,WD BREAKFAST BLEND CAN,32253,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114079552,WD NEW ORLNS CRE COFFEE,32254,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2550000034,FOLGERS CLASSIC INSTANT,32255,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,FOLGERS,"J. M. SMUCKER COMPANY, THE",27832
2550000227,FOLGERS CLASSIC VAC BAG,32257,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",27832
2550000228,FOLGERS COLMB SUPREME,32258,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",27832
2550000233,FOLGERS HALF CAF BAG,32259,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",27832
2550000365,FOLGERS CLASSIC ROAST CAN,32260,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",27832
2550000374,FOLGERS CLASSIC ROAST DECAF,32261,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",
2550000376,FOLGERS GROUND CAN BLACK SILK,32262,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",27832
2550000380,FOLGERS GROUND CAN HOUSE BLEND,32263,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",27832
2550000392,FOLGERS GROUND CAN HALF CAFFEI,32264,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",27832
2550006763,FOLGERS HAZELNUT CAN 11.5 OZ.,32265,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",
2550006874,FLGER DECF GRND HAZELNUT,32266,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",
2550020170,FOLGERS CLASSIC DECAF INSTANT,32270,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,FOLGERS,"J. M. SMUCKER COMPANY, THE",27832
2550020188,FOLGERS CLASSIC ROAST INSTANT,32271,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,FOLGERS,"J. M. SMUCKER COMPANY, THE",27832
2550020421,FOLGERS CLASSIC ROAST CAN,32272,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,27832
2550020527,FOLGERS HALF CAFFINATED CAN,32273,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,27832
2550020529,FOLGERS BREAKFAST BLEND CAN,32274,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,27832
2550020532,FOLGERS COLUMBIAN CAN,32275,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,27832
2550020534,FOLGERS FRENCH ROAST CAN,32276,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,27832
