UPC,NAME,IDProduct,L1,L2,L3,Brand,Manufacturer,Planogram
2114000005.0, WD INSTANT COFFEE,32242,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,WINN DIXIE,LONE STAR FUNDS,
2114000006.0,WD INSTANT COFFEE,32243,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,WINN DIXIE,LONE STAR FUNDS,
2114001629.0,WD ORIG RST CAN GRND COFF,32244,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001630.0,WD DRK RST GRND COFFE CAN,32245,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001632.0,WD COLUMBN GRND COFF CAN,32246,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001633.0,WD 1/2 CAF GRND COFFE CAN,32247,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001634.0,WD ORIG RST BRICK COFFEE,32248,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001635.0,WD ORIG RST DECAF BRICK,32249,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114001636.0,WD DARK RST BRICK COFFEE,32250,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114012205.0,WD 100% ARABICA CL GRND COFFEE,32251,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114012208.0,WD BREAKFAST BLEND BRICK,32252,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114012209.0,WD BREAKFAST BLEND CAN,32253,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2114079552.0,WD NEW ORLNS CRE COFFEE,32254,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS,
2550000374.0,FOLGERS CLASSIC ROAST DECAF,32261,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",
2550006763.0,FOLGERS HAZELNUT CAN 11.5 OZ.,32265,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",
2550006874.0,FLGER DECF GRND HAZELNUT,32266,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",
2550020538.0,FOLGERS GROUND HOUSE BLND CAN,32278,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
2550020544.0,FOLGERS GRND SPECIAL ROAST CAN,32280,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
2800046631.0,NESCAFE CLASICO,32283,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,NESCAFE,NESTLE HOLDINGS INC,
2800054231.0,NESCAFE CLASICO DECAF,32285,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC,
2800084909.0,TC COLUMBIAN COFFEE STICKS,32288,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,Unassigned,Unassigned,
4300003283.0,MH HOUSE BLEND PK,32298,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC.",
4300004658.0,MAX GROUND DECAF CAN 3#,32300,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC.",
4300004661.0,MAXWELL GOURMET ROAST CN,32301,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC.",
4300070214.0,MAX FILT PK SINGLE REG,32313,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,MAXWELL HOUSE,"KRAFT FOODS, INC.",
4790011119.0,CDM MEDIUM ROAST,32318,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,C D M,"WM. B. REILY & COMPANY, INC",
5000046298.0,NESCAFE CLASICO 10.5OZ,32319,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
7103800148.0,CFON COFFEE DARK SATIN,32323,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CHOCK FULL O NUTS,SEGAFREDO ZANETTI GROUP,
7232300333.0,DON FRAN COLOMBIAN SUPR PK,32324,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
7232300334.0,DON FRAN VAN NUT PK,32325,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
7447100055.0,CAFE BUSTELO ESPRESSO CAN,32327,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
7447100210.0,CAFE BUSTELO DECAF CAN,32328,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,BUSTELO,"J. M. SMUCKER COMPANY, THE",
60788002227.0,SH FRENCH VANILLA DECAF GRD,35399,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS,
60788002226.0,SH HAZELNUT DECAF GRD,35402,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS,
60788002215.0,SH COLUMBIAN RESERVE GRD,35404,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS,
60788002231.0,SH COLUMBIAN DECAF RES.GRD,35405,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS,
60788002221.0,SH COSTAL MORNINGS BLEND GRD,35406,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS,
60788002229.0,SH SWISS MOCHA CHOC DECAF GRD,35408,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS,
60788002228.0,SH SOUTHERN PECAN DECAF GRD,35409,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS,
60788002219.0,SH SOUTHERN PECAN GRD,35413,GROCERY (Corp 6),COFFEE,WHOLE BEAN-GROUND,SOUTHERN HOME,LONE STAR FUNDS,
66576850017.0,SHRC JAMAICA BLEND,35414,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
66576850019.0,SHRC KONA BLEND,35415,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
66576850013.0,SHRC HAZELNUT,35416,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
66576850009.0,SHRC MORNING FOGGCUTTER,35417,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
66576850015.0,SHRC HAZELNUT DECAF,35418,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
66576850010.0,SHRC FRENCH ROAST,35419,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
7056820010.0,FRENCH MRKT UNION C&C BAG,35420,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,UNION,"WM. B. REILY & COMPANY, INC",
7056810040.0,FRNCH MRKT CHICORY BLND,35421,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FRENCH MARKET,"WM. B. REILY & COMPANY, INC",
7056850055.0,FRNCH MRKT FRNCH RST COFF,35422,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FRENCH MARKET,"WM. B. REILY & COMPANY, INC",
60788010090.0,SEGE COFFEE,35452,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
3825910461.0,SEG CLASSIC ROAST CAN 30.5,35453,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
7762300066.0,MASTER CHEF CAN COFFEE,35456,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
4300007153.0,MCCAFE COLOMBIAN CAN,35457,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
4300007151.0,MCCAFE PREM RST CAN,35458,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
4300007056.0,MAXWELL HS GOURMET BLEND,35460,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
3825910459.0,SEG BREAKFAST BLEND CAN 10.8,35461,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
3825910464.0,SEG CAFE EXPRESSO BRICK,35462,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
60788010088.0,SEGE BRICK COFFEE,35463,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
3825910462.0,SEG CLASSIC ROAST DECAF CAN,35465,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
7232300014.0,CAFE LA LLAVE EXPRESSO,35466,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,CAFE LA LLAVE,F. GAVINA & SONS INC,
3825910466.0,SEG CLASSIC ROAST DECAF BRICK,35468,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
3825910465.0,SEG NEW ORLEANS BLND BRICK,35470,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
3825910463.0,SEG BREAKFAST BLEND BRICK,35471,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
3825910460.0,SEG CLASSIC ROAST COFFEE 10.5,35472,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
4300007551.0,MAX BOOST 1.5XCAF,35473,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
4300007545.0,MAX BOOST 1.25XCAF,35474,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
4300007552.0,MAX BOOST 1.75XCAF,35475,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
2550000384.0,FOLGERS COLOMBIAN GROUND CAN,35476,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
60788010087.0,SEGE DECAF GROUND COFFEE,35478,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
3825910458.0,SEG BREAKFAST BLEND CAN,35481,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,Unassigned,Unassigned,
2550007085.0,FOLGERS SIMPLY SMOOTH DECAF,35483,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE",
2800020418.0,TASTERS CH MEMENTO CARAMEL LAT,37925,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,NESCAFE,NESTLE HOLDINGS INC,
2800025406.0,TASTER CHOICE ORIG STICK,37926,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,Unassigned,Unassigned,
