UPC,L1,L2,L3,Brand,Manufacturer
2114000005,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,WINN DIXIE,LONE STAR FUNDS
2114000006,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,WINN DIXIE,LONE STAR FUNDS
2114001629,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2114001630,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2114001632,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2114001633,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2114001634,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2114001635,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2114001636,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2114012205,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2114012208,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2114012209,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2114079552,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,WINN DIXIE,LONE STAR FUNDS
2550000034,GROCERY (Corp 6),COFFEE,COFFEE INSTANT & SUBSTITUTES,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550000227,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550000228,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550000233,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550000365,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550000374,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550000376,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550000380,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
2550000392,GROCERY (Corp 6),COFFEE,COFFEE MAINSTREAM GROUND,FOLGERS,"J. M. SMUCKER COMPANY, THE"
